Metric,Value
Accuracy,0.21444444444444444
Precision (Macro),0.1557010011988465
Recall (Macro),0.2100455790215206
F1 Score (Macro),0.08884909366458035
Precision (Weighted),0.16084676725456945
Recall (Weighted),0.21444444444444444
F1 Score (Weighted),0.09098683434546004
Matthews Correlation Coefficient,0.05826333186203266
Cohen's Kappa Score,0.013032010336066047
ROC AUC Score (Macro),0.5167157156471276
Mean Squared Error (MSE),2.0277777777777777
Mean Absolute Error (MAE),1.1922222222222223
